Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
com.android.internal.telephony.TelephonyCapabilities.getDeviceIdLabel(Phone);com.android.internal.telephony.Phone;0;0;1;1.0000;41;10;1;2;0;0.9893;175;175;72
com.android.internal.telephony.ServiceStateTracker.enableLocationUpdates();com.android.internal.telephony.CommandsInterface;0;0;4;0.9524;246;38;74;1;0;0.9954;216;214;44
com.android.internal.telephony.uicc.IccCardProxy.supplyPuk(String, String, Message);com.android.internal.telephony.uicc.UiccCardApplication;0;0;2;0.9649;507;40;28;1;0;0.9844;388;38;29
com.android.internal.telephony.gsm.GsmMmiCode.onUssdFinished(String, boolean);com.android.internal.telephony.gsm.GSMPhone;1;0;5;0.8864;839;42;61;1;0;0.9921;1012;106;19
com.android.internal.telephony.SMSDispatcher.getPremiumSmsPermission(String);com.android.internal.telephony.SmsUsageMonitor;0;0;0;0;0;0;0;0;0;0;0;0;0
com.android.internal.telephony.sip.SipPhone.sendDtmf(char);com.android.internal.telephony.Call;1;0;2;0.9730;238;31;10;0;1;0.9545;117;16;4
com.android.internal.telephony.uicc.RuimRecords.fetchRuimRecords();com.android.internal.telephony.CommandsInterface;1;1;3;0.9767;330;21;25;1;0;0.9956;216;214;44
com.android.internal.telephony.gsm.GsmDataConnectionTracker.onDataStateChanged(AsyncResult);com.android.internal.telephony.DataCallState;2;8;0;0.9304;1870;98;16;1;2;0.9091;157;3;14
com.android.internal.telephony.cdma.CdmaSMSDispatcher.handleServiceCategoryProgramData(SmsMessage);com.android.internal.telephony.SmsMessageBase;1;0;1;1.0000;228;15;4;0;0;1.0000;80;16;18
com.android.internal.telephony.gsm.GSMPhone.setRadioPower(boolean);com.android.internal.telephony.ServiceStateTracker;0;0;1;0.9917;1012;106;19;1;0;0.9844;246;38;74
com.android.internal.telephony.PhoneBase.registerForLineControlInfo(Handler, int, Object);com.android.internal.telephony.CommandsInterface;0;0;1;0.9939;599;135;66;1;0;0.9954;216;214;44
com.android.internal.telephony.sip.SipPhone.SipCall.acceptCall();com.android.internal.telephony.sip.SipPhone.SipConnection;1;0;0;1.0000;214;24;0;1;0;0.9615;125;15;7
com.android.internal.telephony.RIL.processUnsolicited(Parcel);com.android.internal.telephony.uicc.IccUtils;0;0;0;0;0;0;0;0;0;0;0;0;0
com.android.internal.telephony.gsm.GSMPhone.getDataConnectionState(String);com.android.internal.telephony.gsm.GsmServiceStateTracker;2;0;2;0.9843;1012;106;19;1;1;0.9726;1012;35;45
com.android.internal.telephony.cat.CatService.handleMessage(Message);com.android.internal.telephony.CommandsInterface;0;2;11;0.8400;470;19;25;1;0;0.9955;216;214;44
com.android.internal.telephony.cdma.RuimSmsInterfaceManager.updateMessageOnIccEf(int, int, byte[]);com.android.internal.telephony.CommandsInterface;3;1;5;0.8000;88;10;8;1;0;0.9955;216;214;44
com.android.internal.telephony.uicc.IccFileHandler.loadEFLinearFixedAll(int, Message);com.android.internal.telephony.CommandsInterface;0;1;5;0.8500;262;16;42;1;0;0.9954;216;214;44
com.android.internal.telephony.cat.CatService.isStkAppInstalled();com.android.internal.telephony.cat.AppInterface;1;0;1;0.9565;470;19;25;0;1;1.0000;13;4;4
com.android.internal.telephony.CallSetupException.DcDisconnectingState.processMessage(Message);com.android.internal.telephony.CallSetupException.DcInactiveState;1;0;0;1.0000;30;1;0;1;0;0.9167;67;5;3
com.android.internal.telephony.DebugService.dump(FileDescriptor, PrintWriter, String[]);com.android.internal.telephony.RIL;2;1;0;1.0000;69;2;1;1;0;0.9948;2581;171;27
com.android.internal.telephony.test.ModelInterpreter.switchActiveAndHeldOrWaiting();com.android.internal.telephony.test.SimulatedGsmCallState;0;0;1;0.9773;319;33;14;1;0;0.9600;452;20;6
com.android.internal.telephony.uicc.AdnRecordCache.extensionEfForEf(int);com.android.internal.telephony.uicc.IccConstants;1;0;0;1.0000;190;11;7;0;10;1.0000;0;0;51
com.android.internal.telephony.cdma.SmsMessage.parseBroadcastSms();com.android.internal.telephony.cdma.sms.SmsEnvelope;4;0;3;0.9677;546;31;16;0;2;0.8947;2;0;27
com.android.internal.telephony.cdma.CdmaServiceStateTracker.handlePollStateResult(int, AsyncResult);com.android.internal.telephony.cdma.EriManager;3;7;7;0.8462;1089;44;44;2;0;0.9500;235;13;11
android.provider.Telephony.Sms.isOutgoingFolder(int);android.provider.Telephony.TextBasedSmsColumns;1;0;0;1.0000;61;6;2;0;4;1.0000;0;0;29
com.android.internal.telephony.uicc.IccRecords.setMsisdnNumber(String, String, Message);com.android.internal.telephony.uicc.AdnRecordLoader;1;1;5;0.9333;160;33;36;1;0;0.9444;117;4;15
com.android.internal.telephony.cat.CommandParamsFactory.processBIPClient(CommandDetails, List<ComprehensionTlv>);com.android.internal.telephony.cat.CommandDetails;4;1;5;0.8710;575;21;15;0;1;0.9524;26;5;5
com.android.internal.telephony.PhoneProxy.exitEmergencyCallbackMode();com.android.internal.telephony.Phone;0;0;1;0.9947;658;181;13;1;0;0.9947;175;175;72
com.android.internal.telephony.gsm.GsmServiceStateTracker.onUpdateIccAvailability();com.android.internal.telephony.uicc.UiccCardApplication;3;1;0;0.9861;1012;35;45;0;0;1.0000;388;38;29
com.android.internal.telephony.gsm.SmsMessage.PduParser.getUserDataKSC5601(int);com.android.internal.telephony.gsm.SmsMessage;1;0;2;0.8667;133;9;6;0;1;1.0000;444;23;12
com.android.internal.telephony.gsm.GsmMmiCode.processCode();com.android.internal.telephony.gsm.GSMPhone;3;15;27;0.6557;839;42;61;1;0;0.9938;1012;106;19
com.android.internal.telephony.gsm.GsmServiceStateTracker.onUpdateIccAvailability();com.android.internal.telephony.uicc.UiccController;3;1;0;0.9861;1012;35;45;0;1;0.9474;85;8;10
com.android.internal.telephony.PhoneBase.registerForInCallVoicePrivacyOn(Handler, int, Object);com.android.internal.telephony.CommandsInterface;0;0;1;0.9939;599;135;66;1;0;0.9954;216;214;44
com.android.internal.telephony.uicc.UiccCardApplication.queryPin1State();com.android.internal.telephony.CommandsInterface;1;0;4;0.9516;388;38;29;1;4;0.9954;216;214;44
com.android.internal.telephony.uicc.AdnRecordLoader.updateEF(AdnRecord, int, int, int, String, Message);com.android.internal.telephony.uicc.IccFileHandler;0;0;7;0.5714;117;4;15;1;0;0.9615;262;16;42
com.android.internal.telephony.cdma.CdmaConnection.hangup();com.android.internal.telephony.cdma.CdmaCallTracker;0;0;2;0.9649;565;40;27;1;0;0.9853;707;48;22
com.android.internal.telephony.cdma.CDMAPhone.handleExitEmergencyCallbackMode(Message);com.android.internal.telephony.DataConnectionTracker;0;2;5;0.9664;974;127;45;1;0;0.9913;693;68;68
android.telephony.CellBroadcastMessage.isEtwsTestMessage();android.telephony.SmsCbEtwsInfo;2;0;1;0.9615;230;20;5;0;2;0.9231;61;5;11
com.android.internal.telephony.RIL.responseCallList(Parcel);com.android.internal.telephony.uicc.IccUtils;0;0;0;0;0;0;0;0;0;0;0;0;0
com.android.internal.telephony.SmsStorageMonitor.handleIccFull();android.provider.Telephony.Sms.Intents;2;0;3;0.8000;53;4;11;0;1;1.0000;16;1;12
com.android.internal.telephony.RIL.queryCLIP(Message);com.android.internal.telephony.RILRequest;1;3;1;0.9891;2581;171;27;2;1;0.8182;68;5;12
com.android.internal.telephony.PhoneBase.getPreferredNetworkType(Message);com.android.internal.telephony.CommandsInterface;0;0;1;0.9939;599;135;66;1;0;0.9954;216;214;44
com.android.internal.telephony.PhoneProxy.deleteAndCreatePhone(int);com.android.internal.telephony.CallManager;1;1;1;0.9948;658;181;13;2;1;0.9841;753;95;52
com.android.internal.telephony.gsm.GsmDataConnectionTracker.createAllApnList();com.android.internal.telephony.PhoneBase;4;4;0;0.9636;1870;98;16;0;1;0.9942;599;135;66
com.android.internal.telephony.gsm.GSMPhone.registerForSuppServiceNotification(Handler, int, Object);com.android.internal.telephony.CommandsInterface;0;0;1;0.9918;1012;106;19;1;0;0.9954;216;214;44
com.android.internal.telephony.RIL.getCdmaSubscriptionSource(Message);com.android.internal.telephony.RILRequest;1;3;1;0.9891;2581;171;27;2;1;0.8182;68;5;12
com.android.internal.telephony.test.ModelInterpreter.onDial(String);com.android.internal.telephony.test.SimulatedGsmCallState;0;0;1;0.9773;319;33;14;1;0;0.9600;452;20;6
com.android.internal.telephony.DataConnectionTracker.isEmergency();com.android.internal.telephony.PhoneBase;0;1;2;0.9727;693;68;68;2;0;0.9880;599;135;66
com.android.internal.telephony.RIL.hangupForegroundResumeBackground(Message);com.android.internal.telephony.RILRequest;1;3;1;0.9891;2581;171;27;2;1;0.8182;68;5;12
com.android.internal.telephony.uicc.IccCardProxy.changeIccFdnPassword(String, String, Message);com.android.internal.telephony.uicc.UiccCardApplication;0;0;2;0.9649;507;40;28;1;0;0.9844;388;38;29
com.android.internal.telephony.ServiceStateTracker.dispose();com.android.internal.telephony.uicc.UiccController;0;0;0;0;0;0;0;0;0;0;0;0;0
com.android.internal.telephony.PhoneProxy.registerForPreciseCallStateChanged(Handler, int, Object);com.android.internal.telephony.Phone;0;0;1;0.9947;658;181;13;1;0;0.9947;175;175;72
com.android.internal.telephony.cdma.SmsMessage.parsePduFromEfRecord(byte[]);com.android.internal.telephony.cdma.sms.SmsEnvelope;4;2;11;0.9333;546;31;16;0;10;0.6296;2;0;27
com.android.internal.telephony.cdma.SmsMessage.privateGetSubmitPdu(String, boolean, UserData);com.android.internal.telephony.cdma.sms.SmsEnvelope;5;1;3;1.0000;546;31;16;0;8;0.8214;2;0;27
com.android.internal.telephony.PhoneBase.notifyServiceStateChangedP(ServiceState);com.android.internal.telephony.PhoneNotifier;0;0;2;0.9877;599;135;66;1;0;0.9231;11;11;0
com.android.internal.telephony.PhoneSubInfo.getLine1AlphaTag();com.android.internal.telephony.Phone;0;0;3;0.8947;98;16;6;1;0;0.9947;175;175;72
com.android.internal.telephony.gsm.GsmDataConnectionTracker.onDataSetupComplete(AsyncResult);com.android.internal.telephony.ApnContext;4;6;2;0.9435;1870;98;16;5;5;0.7959;143;19;13
com.android.internal.telephony.gsm.UsimPhoneBookManager.updatePhoneAdnRecord();com.android.internal.telephony.uicc.AdnRecord;1;2;6;0.7308;250;14;33;0;0;1.0000;145;10;20
com.android.internal.telephony.CallSetupException.DcDefaultState.enter();com.android.internal.telephony.CallSetupException;2;0;0;1.0000;169;3;0;0;2;0.9811;293;31;34
com.android.internal.telephony.PhoneSubInfoProxy.getIsimDomain();com.android.internal.telephony.PhoneSubInfo;0;0;1;0.9375;51;14;1;1;0;0.9500;98;16;6
com.android.internal.telephony.gsm.SmsCbHeader.getCmasSeverity();android.telephony.SmsCbCmasInfo;2;0;1;0.9545;199;13;16;0;3;1.0000;48;3;46
com.android.internal.telephony.PhoneBase.notifyDataConnection(String, String);com.android.internal.telephony.Phone;1;0;1;0.9939;599;135;66;1;0;0.9947;175;175;72
com.android.internal.telephony.cdma.CdmaDataConnectionTracker.onRadioOffOrNotAvailable();com.android.internal.telephony.PhoneBase;1;1;0;0.9839;623;51;14;0;1;0.9940;599;135;66
com.android.internal.telephony.cdma.CDMAPhone.getVoiceMessageCount();com.android.internal.telephony.uicc.IccRecords;1;0;1;1.0000;974;127;45;0;0;1.0000;160;33;36
com.android.internal.telephony.gsm.GsmMmiCode.sendUssd(String);com.android.internal.telephony.CommandsInterface;1;0;3;0.9545;839;42;61;1;0;0.9954;216;214;44
com.android.internal.telephony.RILRequest.onError(int, Object);com.android.internal.telephony.CommandException;1;1;4;0.5000;68;5;12;1;0;1.0000;46;1;2
com.android.internal.telephony.PhoneProxy.getIsimRecords();com.android.internal.telephony.Phone;0;0;1;0.9947;658;181;13;1;0;0.9947;175;175;72
com.android.internal.telephony.PhoneBase.notifyCellInfo(List<CellInfo>);com.android.internal.telephony.PhoneNotifier;0;0;0;0;0;0;0;0;0;0;0;0;0
com.android.internal.telephony.cdma.CdmaServiceStateTracker.handleMessage(Message);com.android.internal.telephony.CommandsInterface;2;12;7;0.8061;1089;44;44;4;0;0.9837;216;214;44
com.android.internal.telephony.WapPushOverSms.dispatchWapPdu(byte[]);com.android.internal.telephony.uicc.IccUtils;0;0;0;0;0;0;0;0;0;0;0;0;0
com.android.internal.telephony.cdma.CdmaDataConnectionTracker.onDataStateChanged(AsyncResult);com.android.internal.telephony.PhoneBase;1;5;0;0.9206;623;51;14;1;0;0.9942;599;135;66
com.android.internal.telephony.cdma.CDMAPhone.onUpdateIccAvailability();com.android.internal.telephony.uicc.UiccController;2;3;1;0.9739;974;127;45;0;1;0.9524;85;8;10
com.android.internal.telephony.cat.CatService.validateResponse(CatResponseMessage);com.android.internal.telephony.cat.CommandDetails;2;0;1;0.9615;470;19;25;1;0;0.9286;26;5;5
com.android.internal.telephony.SMSDispatcher.ConfirmDialogListener.onClick(DialogInterface, int);com.android.internal.telephony.SMSDispatcher;1;0;1;0.5000;17;2;1;0;3;1.0000;543;30;41
com.android.internal.telephony.cdma.SmsMessage.parseSms();com.android.internal.telephony.uicc.IccUtils;0;0;0;0;0;0;0;0;0;0;0;0;0
com.android.internal.telephony.gsm.GsmCallTracker.separate(GsmConnection);com.android.internal.telephony.gsm.GsmConnection;1;1;1;0.9825;563;41;17;1;1;0.9643;431;31;29
com.android.internal.telephony.uicc.RuimRecords.EfCsimSpnLoaded.onRecordLoaded(AsyncResult);com.android.internal.telephony.uicc.RuimRecords;3;0;0;1.0000;45;2;0;1;2;0.9412;330;21;25
com.android.internal.telephony.cdma.CdmaServiceStateTracker.getSubscriptionInfoAndStartPollingThreads();com.android.internal.telephony.CommandsInterface;0;1;0;0.9881;1089;44;44;1;0;0.9954;216;214;44
com.android.internal.telephony.cat.CommandParamsFactory.processRefresh(CommandDetails, List<ComprehensionTlv>);com.android.internal.telephony.cat.CommandDetails;1;0;5;0.9600;575;21;15;0;1;0.9167;26;5;5
com.android.internal.telephony.uicc.IccCardProxy.supplyPuk2(String, String, Message);com.android.internal.telephony.uicc.UiccCardApplication;0;0;2;0.9649;507;40;28;1;0;0.9844;388;38;29
