Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
android.support.v4.app.FragmentStatePagerAdapter.destroyItem(ViewGroup, int, Object);android.support.v4.app.FragmentTransaction;1;0;6;0.7333;104;8;6;1;0;0.9667;23;23;7
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.AccessibilityNodeInfoIcsImpl.getChild(Object, int);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.smoothScrollTo(int, int, int);android.support.v4.view.ViewCompat;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.PagerTitleStrip.PageListener.onPageSelected(int);android.support.v4.view.ViewPager;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentActivity.getLoaderManager(int, boolean, boolean);android.support.v4.util.SparseArrayCompat;2;0;1;0.9750;367;29;16;0;0;1.0000;183;19;5
android.support.v4.view.accessibility.AccessibilityRecordCompat.AccessibilityRecordIcsImpl.isScrollable(Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.execPendingActions();android.support.v4.app.Fragment;1;0;5;0.9405;1280;68;37;0;0;1.0000;439;56;44
android.support.v4.app.FragmentManagerImpl.removeFragment(Fragment, int, int);android.support.v4.app.Fragment;1;1;4;0.9663;1280;68;37;1;7;0.9368;439;56;44
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.AccessibilityNodeInfoIcsImpl.getChildCount(Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.LoaderManagerImpl.toString();android.support.v4.util.DebugUtils;0;0;1;0.9565;234;16;9;1;0;1.0000;18;1;0
android.support.v4.view.ViewCompat.GBViewCompatImpl.getOverScrollMode(View);android.support.v4.view.ViewCompatGingerbread;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.AccessibilityNodeInfoIcsImpl.setSelected(Object, boolean);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.MyAccessibilityDelegate.performAccessibilityAction(View, int, Bundle);android.support.v4.view.ViewPager;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.os.ParcelableCompatCreatorHoneycombMR2.createFromParcel(Parcel, ClassLoader);android.support.v4.os.ParcelableCompatCreatorCallbacks;0;0;1;0.7500;12;3;1;1;0;0.6667;2;2;0
