Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.argouml.uml.ui.behavior.common_behavior.ActionNewArgument.actionPerformed(ActionEvent);org.argouml.ui.targetmanager.TargetManager;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.ui.explorer.ExplorerTree.ExplorerTreeWillExpandListener.treeWillExpand(TreeExpansionEvent);org.argouml.notation.Notation;2;0;0;1.0000;8;2;0;0;0;1.0000;333;65;13
org.argouml.model.uml.UmlHelperImpl.getCollaborations();org.argouml.model.uml.NSUMLModelImplementation;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.model.uml.NSUMLModelEventPump.removeClassModelEventListener(PropertyChangeListener, Object, String[]);org.argouml.model.uml.NSUMLEventListener;0;2;2;0.7500;78;9;3;1;0;0.9412;72;10;3
org.argouml.application.configuration.ConfigurationHandler.load(URL);org.argouml.application.api.Configuration;1;1;2;0.9459;184;31;7;0;1;1.0000;89;28;5
org.argouml.notation.Notation.generateVisibility(NotationName, Object);org.argouml.notation.NotationProvider2;0;1;0;1.0000;333;65;13;1;0;0.9630;27;27;0
org.argouml.application.api.Configuration.removeKey(ConfigurationKey);org.argouml.application.configuration.ConfigurationHandler;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.uml.cognitive.critics.CrUnconventionalAttrName.initWizard(Wizard);org.argouml.cognitive.ToDoItem;4;1;0;0.9167;102;8;0;0;1;0.9744;183;20;13
org.argouml.uml.diagram.ui.TabDiagram.targetSet(TargetEvent);org.argouml.ui.targetmanager.TargetEvent;0;2;0;0.9048;155;14;5;2;0;0.8182;44;5;6
org.argouml.application.StartCritics.run();org.argouml.cognitive.DecisionModel;5;0;1;1.0000;21;1;1;0;0;1.0000;47;8;1
org.argouml.uml.ui.behavior.state_machines.PropPanelPseudostate.refreshTarget();org.argouml.i18n.Translator;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.uml.diagram.static_structure.ui.FigInterface.textEdited(FigText);org.argouml.ui.StatusBar;2;0;2;0.9412;414;24;7;1;0;0.9333;54;5;3
org.argouml.ui.explorer.rules.GoComponentToResidentModelElement.getRuleName();org.argouml.i18n.Translator;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.uml.diagram.static_structure.ui.FigInterface.textEdited(FigText);org.argouml.i18n.Translator;2;0;2;0.9412;414;24;7;0;0;1.0000;63;11;3
org.argouml.persistence.ArgoParser.handleVersion(XMLElement);org.argouml.persistence.XMLElement;1;0;1;0.9444;111;12;5;1;0;0.9333;37;9;3
org.argouml.ui.ProjectBrowser.getTabProps();org.argouml.ui.DetailsPane;0;0;1;0.9787;331;28;22;1;0;0.9737;306;28;9
org.argouml.cognitive.ResolvedCritic.importOffenders(ListSet, boolean);org.argouml.cognitive.ListSet;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.cognitive.critics.ui.CriticBrowserDialog.setTargetMoreInfo();org.argouml.cognitive.critics.Critic;1;0;2;0.9412;217;12;34;0;1;0.9844;273;47;33
org.argouml.uml.ui.PropPanel.removeElement();org.argouml.uml.ui.ActionBaseDelete;3;0;1;0.9792;282;35;12;0;0;1.0000;140;6;0
org.argouml.uml.ui.ActionBaseDelete.sureRemoveModelElement(Object);org.argouml.ui.ProjectBrowser;2;0;0;1.0000;140;6;0;1;0;1.0000;331;28;22
org.argouml.uml.ui.UMLComboBoxEntry.getLongName();org.argouml.uml.Profile;0;0;3;0.7857;144;8;6;1;0;0.8333;3;3;0
org.argouml.ui.ProjectBrowser.createPanels(SplashScreen);org.argouml.ui.cmd.GenericArgoMenuBar;3;3;15;0.6667;331;28;22;2;2;0.9273;365;22;16
org.argouml.uml.ui.behavior.state_machines.ActionNewGuard.actionPerformed(ActionEvent);org.argouml.ui.targetmanager.TargetManager;1;0;0;1.0000;10;1;1;0;0;1.0000;208;23;8
org.argouml.uml.ui.UMLChangeDispatch.dispatch(Container);org.argouml.uml.ui.UMLUserInterfaceComponent;0;1;2;0.8824;101;11;14;2;0;0.5000;2;2;0
