Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.tools.ant.UnknownElement.setNamespace(String);org.apache.tools.ant.ProjectHelper;2;0;1;0.9630;232;21;5;0;1;1.0000;150;14;6
org.apache.tools.ant.taskdefs.Jar.getResourcesToAdd(ResourceCollection[], File, boolean);org.apache.tools.ant.taskdefs.Manifest;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.Project.addOrReplaceTarget(String, Target);org.apache.tools.ant.Target;1;1;2;0.9792;672;82;32;0;1;0.9600;145;15;7
org.apache.tools.ant.taskdefs.rmic.SunRmic.execute();org.apache.tools.ant.util.LineOrientedOutputStream;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.Java.addSyspropertyset(PropertySet);org.apache.tools.ant.types.CommandlineJava;0;0;1;0.9818;366;42;13;1;0;0.9722;194;25;9
org.apache.tools.ant.taskdefs.email.MimeMailer.send();org.apache.tools.ant.taskdefs.email.EmailAddress;2;2;1;0.9565;109;3;1;0;2;0.9259;95;2;2
org.apache.tools.ant.taskdefs.compilers.Jvc.execute();org.apache.tools.ant.types.resources.BaseResourceCollectionContainer;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.extension.resolvers.AntResolver.resolve(Extension, Project);org.apache.tools.ant.ProjectComponent;1;1;3;0.6364;40;3;3;0;0;1.0000;21;2;1
org.apache.tools.ant.taskdefs.ExecTask.prepareExec();org.apache.tools.ant.types.RedirectorElement;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.ejb.GenericDeploymentTool.getClassLoaderForBuild();org.apache.tools.ant.Project;1;1;2;0.9167;421;25;18;1;0;0.9900;672;82;32
org.apache.tools.ant.taskdefs.ExecTask.prepareExec();org.apache.tools.ant.types.Environment;2;2;5;0.8654;226;28;15;1;0;0.9500;16;2;1
org.apache.tools.ant.types.optional.AbstractScriptComponent.addText(String);org.apache.tools.ant.util.ScriptRunner;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.ExecuteJava.fork(ProjectComponent);org.apache.tools.ant.taskdefs.Redirector;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.Main.startAnt(String[], Properties, ClassLoader);org.apache.tools.ant.Diagnostics;0;4;2;0.8696;588;19;19;1;0;1.0000;226;15;1
org.apache.tools.ant.taskdefs.Concat.MultiReader.isMissingEndOfLine();org.apache.tools.ant.taskdefs.Concat;1;0;1;0.9091;114;6;5;0;1;0.9643;238;13;16
org.apache.tools.ant.AntClassLoader.addPathFile(File);org.apache.tools.ant.taskdefs.Manifest.Section;0;0;1;0.9808;478;39;14;0;0;1.0000;183;14;4
org.apache.tools.ant.taskdefs.AbstractCvsTask.executeToString(Execute);org.apache.tools.ant.types.Commandline;2;0;0;1.0000;330;17;23;1;0;1.0000;234;24;3
org.apache.tools.ant.helper.ProjectHelperImpl.configureId(Object, AttributeList);org.apache.tools.ant.Project;1;0;1;0.8889;87;3;7;1;0;0.9897;672;82;32
org.apache.tools.ant.taskdefs.Javadoc.execute();org.apache.tools.ant.util.FileUtils;2;3;27;0.8095;803;78;33;2;0;0.9798;584;34;8
org.apache.tools.ant.taskdefs.Recorder.init();org.apache.tools.ant.Project;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.types.resources.Restrict.iterator();org.apache.tools.ant.types.resources.BaseResourceCollectionWrapper;0;0;0;0;0;0;0;0;0;0;0;0;0
