Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
org.apache.wml.WMLSelectElement;16;16;0;0.0000;0;0.0;16
org.apache.xerces.xs.XSModel;11;11;0;0.0000;0;0.0;11
org.apache.wml.dom.WMLTemplateElementImpl;33;10;0;0.0000;0;0.0;11
org.apache.xerces.impl.io.ASCIIReader;46;8;3;0.7037;0;0.0;14
org.apache.xerces.impl.ExternalSubsetResolver;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.util.SimpleLocator;32;3;4;0.7500;0;0.0;9
org.apache.xerces.dom.DeferredDOMImplementationImpl;0;0;0;0;0;0;0
org.apache.xerces.impl.XMLDocumentFragmentScannerImpl;462;24;44;0.9545;2;13.0;139
org.apache.xerces.parsers.SecuritySupport;34;9;1;1.0000;0;0.0;10
org.apache.xerces.util.XMLErrorCode;0;0;0;0;0;0;0
org.apache.xerces.xs.XSAttributeUse;4;4;0;0.0000;0;0.0;4
org.apache.xerces.jaxp.validation.DOMValidatorHelper;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.traversers.SmallContainer;0;0;0;0;0;0;0
org.apache.xerces.impl.dv.dtd.XML11IDREFDatatypeValidator;0;0;0;0;0;0;0
org.apache.xerces.impl.dtd.DTDGrammar;1235;89;74;0.9710;1;62.0;317
org.apache.html.dom.HTMLMetaElementImpl;27;8;0;0.0000;0;0.0;9
org.apache.xerces.impl.dv.xs.DayTimeDurationDV;0;0;0;0;0;0;0
org.apache.xerces.impl.dv.dtd.DTDDVFactoryImpl;21;3;1;0.0000;0;0.0;3
org.apache.xerces.impl.dtd.XMLContentSpec;42;6;18;1.0185;0;0.0;13
org.apache.xerces.impl.xs.SchemaSymbols;0;0;165;0.0000;0;0.0;0
org.apache.xerces.impl.dv.xs.BaseDVFactory;0;0;0;0;0;0;0
org.apache.xerces.xs.AttributePSVI;1;1;0;0.0000;0;0.0;1
org.apache.xerces.util.ErrorHandlerWrapper;81;6;1;0.5556;1;11.0;16
org.apache.xerces.impl.XMLVersionDetector;0;0;0;0;0;0;0
org.apache.xerces.xs.XSNamespaceItem;10;10;0;0.0000;0;0.0;10
org.apache.xerces.util.DOMEntityResolverWrapper;35;1;1;0.5000;1;9.0;9
org.apache.xerces.xni.parser.XMLDocumentScanner;2;2;0;0.0000;0;0.0;2
org.apache.html.dom.HTMLInputElementImpl;119;37;0;0.0000;0;0.0;43
org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser;331;8;13;0.9712;3;83.0;100
org.apache.xerces.dom3.as.CharacterDataEditAS;6;6;0;0.0000;0;0.0;6
org.apache.xerces.impl.xpath.regex.ParserForXMLSchema;315;36;6;1.0000;0;1.0;109
org.apache.xerces.impl.xs.XSAttributeDecl;45;6;10;0.9250;0;4.0;14
org.apache.xerces.xs.XSNotationDeclaration;3;3;0;0.0000;0;0.0;3
org.apache.xerces.impl.xs.traversers.Container;0;0;0;0;0;0;0
org.apache.xerces.xs.XSIDCDefinition;5;5;3;1.2500;0;0.0;5
org.apache.xerces.impl.xs.XMLSchemaValidator;1339;48;101;0.9541;2;121.0;412
org.apache.xerces.dom3.as.NodeEditAS;5;5;4;1.2500;0;0.0;5
org.apache.xerces.xni.grammars.XMLDTDDescription;0;0;0;0;0;0;0
org.apache.xerces.dom.DeferredEntityReferenceImpl;21;2;2;0.6667;0;0.0;4
org.apache.xerces.impl.dv.xs.AbstractDateTimeDV;367;25;16;0.9271;0;7.0;112
org.apache.xerces.xni.QName;77;7;4;0.5000;0;0.0;21
org.apache.xerces.util.XMLAttributesImpl;185;27;4;0.6466;0;4.0;76
org.apache.xerces.util.AttributesProxy;0;0;0;0;0;0;0
org.apache.xerces.parsers.SecurityConfiguration;0;0;0;0;0;0;0
org.apache.xerces.dom.DOMImplementationListImpl;0;0;0;0;0;0;0
org.apache.xml.serialize.Method;0;0;5;0.0000;0;0.0;0
org.apache.wml.dom.WMLElementImpl;39;10;0;0.0000;0;0.0;15
org.apache.xerces.parsers.DOMASBuilderImpl;88;8;6;1.0000;0;4.0;24
org.apache.xerces.impl.dv.InvalidDatatypeFacetException;3;0;0;0.0000;0;0.0;1
org.apache.xerces.parsers.XMLGrammarParser;4;0;1;0.0000;1;2.0;1
org.apache.xerces.impl.dv.ValidatedInfo;0;0;4;0.0000;0;0.0;0
org.apache.xerces.parsers.DOMParser;203;10;3;1.0000;2;23.0;53
org.apache.xerces.impl.dtd.XML11DTDProcessor;0;0;0;0;0;0;0
org.apache.wml.dom.WMLTdElementImpl;21;6;0;0.0000;0;0.0;7
org.apache.xml.serialize.SerializerFactory;14;6;2;1.0000;0;0.0;6
org.apache.xerces.util.XML11Char;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.XSAttributeGroupDecl;146;9;7;0.8182;1;16.0;50
org.apache.xerces.xs.StringList;2;2;0;0.0000;0;0.0;2
org.apache.xerces.xs.XSNamespaceItemList;2;2;0;0.0000;0;0.0;2
org.apache.xerces.dom.RangeImpl;878;50;14;0.8228;0;31.0;309
org.apache.xerces.impl.xs.util.NSItemListImpl;18;1;3;0.4444;0;0.0;7
org.apache.xerces.impl.xs.opti.DefaultNode;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.traversers.XSAnnotationInfo;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.traversers.XSAttributeChecker;447;10;94;1.0245;1;63.0;155
org.apache.xerces.dom3.as.ASNamedObjectMap;8;8;0;0.0000;0;0.0;8
org.apache.xerces.impl.xs.traversers.XSDUniqueOrKeyTraverser;22;1;0;0.0000;2;7.0;4
org.apache.xerces.xinclude.SecuritySupport;34;9;1;1.0000;0;0.0;10
org.apache.xerces.impl.xs.opti.DefaultXMLDocumentHandler;0;0;0;0;0;0;0
org.apache.xerces.dom.DOMNormalizer;483;15;20;0.9406;0;41.0;143
org.apache.xerces.xs.XSConstants;0;0;26;0.0000;0;0.0;0
org.apache.xerces.impl.xs.opti.SchemaParsingConfig;0;0;0;0;0;0;0
org.apache.xerces.xinclude.XIncludeTextReader;0;0;0;0;0;0;0
