Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.xerces.impl.xs.XMLSchemaLoader.getParameter(String);org.apache.xerces.util.DOMEntityResolverWrapper;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser.traverseComplexContent(Element, boolean, XSDocumentInfo, SchemaGrammar);org.apache.xerces.xs.XSConstants;9;2;7;0.8125;482;16;17;0;0;1.0000;0;0;26
org.apache.xerces.jaxp.validation.XMLSchemaValidatorComponentManager.setPropertyDefaults(XMLComponent, String[]);org.apache.xerces.xni.parser.XMLComponent;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.XSModelImpl.getNotationDeclaration(String, String);org.apache.xerces.impl.xs.SchemaGrammar;1;1;1;0.9500;165;12;9;0;1;0.9833;225;38;35
org.apache.xerces.impl.XMLDocumentFragmentScannerImpl.scanXMLDeclOrTextDecl(boolean);org.apache.xerces.impl.XMLEntityManager.ScannedEntity;1;0;4;0.9322;487;28;44;0;0;1.0000;68;7;12
org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.ValidationContextImpl.isIdDeclared(String);org.apache.xerces.impl.dv.ValidationContext;0;0;1;0.9167;37;10;2;1;0;0.9091;10;10;0
org.apache.xerces.impl.XMLErrorReporter.reportError(XMLLocator, String, String, Object[], short);org.apache.xerces.util.MessageFormatter;0;1;7;0.7826;135;13;15;1;0;0.8889;1;1;0
org.apache.xerces.parsers.DOMASBuilderImpl.parseASInputSource(XMLInputSource);org.apache.xerces.parsers.XMLGrammarCachingConfiguration;0;2;1;0.8333;88;8;6;3;0;0.8500;78;9;6
org.apache.xerces.impl.xs.XMLSchemaValidator.findSchemaGrammar(short, String, QName, QName, XMLAttributes);org.apache.xerces.impl.xs.XMLSchemaLoader.LocationArray;4;0;9;0.9357;1259;51;103;1;0;0.9655;24;4;2
org.apache.xerces.impl.dtd.XMLDTDProcessor.elementDecl(String, String, Augmentations);org.apache.xerces.xni.XMLDTDHandler;2;0;5;0.9286;499;43;37;1;0;0.9655;22;22;2
org.apache.xerces.impl.xs.traversers.XSDHandler.isExistingGrammar(XSDDescription);org.apache.xerces.impl.XMLEntityManager;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.XMLSchemaValidator.processElementContent(QName);org.apache.xerces.xs.XSObject;11;2;13;0.8913;1259;51;103;0;0;1.0000;4;4;0
org.apache.xerces.impl.XMLEntityManager.createReader(InputStream, String, Boolean);org.apache.xerces.impl.XMLErrorReporter;3;0;4;0.9483;835;34;55;2;2;0.8696;135;13;15
