Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.lucene.index.IndexWriter.mergeSegments(int);org.apache.lucene.index.SegmentMerger;2;1;7;0.8462;217;17;16;2;0;0.9394;185;10;11
org.apache.lucene.search.PhraseQuery.PhraseWeight.sumOfSquaredWeights();org.apache.lucene.search.PhraseQuery;2;0;3;0.7692;73;5;5;0;1;0.9375;55;6;3
org.apache.lucene.index.MultiTermDocs.freq();org.apache.lucene.index.TermDocs;1;0;1;0.9444;75;10;7;0;0;1.0000;8;8;0
org.apache.lucene.queryParser.QueryParserTokenManager.getNextToken();org.apache.lucene.queryParser.CharStream;1;5;7;0.7917;817;32;19;6;0;0.7273;12;12;0
org.apache.lucene.index.IndexWriter.addIndexes(IndexReader[]);org.apache.lucene.store.Directory;0;2;2;0.8889;217;17;16;1;0;0.9474;11;11;0
org.apache.lucene.queryParser.QueryParser.ReInit(CharStream);org.apache.lucene.queryParser.QueryParserTokenManager;0;0;6;0.8947;745;32;36;1;0;0.9796;817;32;19
org.apache.lucene.index.IndexReader.unlock(Directory);org.apache.lucene.store.Lock;1;0;0;1.0000;130;34;3;1;0;0.8000;21;4;1
org.apache.lucene.search.spans.NearSpans.SpansCell.skipTo(int);org.apache.lucene.search.spans.NearSpans;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.analysis.standard.StandardTokenizerTokenManager.jjMoveNfa_0(int, int);org.apache.lucene.analysis.standard.CharStream;0;8;7;0.5200;825;16;30;1;0;0.9583;12;12;0
org.apache.lucene.search.Sort.setSort(String[]);org.apache.lucene.search.SortField;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.IndexSearcher.search(Query, Filter, HitCollector);org.apache.lucene.search.Scorer;0;0;1;0.9333;67;8;1;1;0;0.8750;8;2;1
org.apache.lucene.search.BooleanQuery.BooleanWeight.normalize(float);org.apache.lucene.search.BooleanQuery;2;0;1;0.9231;80;6;3;0;1;0.9333;84;10;2
org.apache.lucene.search.PhrasePrefixQuery.PhrasePrefixWeight.scorer(IndexReader);org.apache.lucene.index.IndexReader;2;0;1;0.9333;65;5;5;2;0;0.9355;130;34;3
org.apache.lucene.index.SegmentMerger.mergeVectors();org.apache.lucene.index.IndexReader;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.RemoteSearchable.search(Query, Filter, HitCollector);org.apache.lucene.search.Searchable;0;0;1;0.9000;36;9;1;1;0;0.8889;8;8;0
org.apache.lucene.index.SegmentTermPositions.nextPosition();org.apache.lucene.store.InputStream;0;0;3;0.7000;32;6;3;1;0;0.9583;101;15;7
org.apache.lucene.search.FieldCacheImpl.getInts(IndexReader, String);org.apache.lucene.index.Term;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.TermScorer.explain(int);org.apache.lucene.index.TermDocs;2;0;6;0.7273;57;2;11;4;0;0.8000;8;8;0
org.apache.lucene.index.IndexReader.aquireWriteLock();org.apache.lucene.store.Directory;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.DocumentWriter.addDocument(String, Document);org.apache.lucene.document.Document;1;4;5;0.5714;173;7;9;0;1;0.9583;57;7;2
org.apache.lucene.search.FieldCacheImpl.getCustom(IndexReader, String, SortComparator);org.apache.lucene.search.SortField;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.DocumentWriter.writeNorms(Document, String);org.apache.lucene.index.FieldInfo;1;0;5;0.7826;173;7;9;0;0;1.0000;5;0;3
org.apache.lucene.index.MultiTermEnum.next();org.apache.lucene.index.SegmentMergeInfo;1;0;3;0.7857;43;2;3;2;2;0.7647;30;2;6
org.apache.lucene.index.SegmentReader.terms();org.apache.lucene.index.TermInfosReader;0;0;1;0.9706;175;23;11;1;0;0.9524;88;11;8
org.apache.lucene.search.MultiSearcher.search(Query, Filter, int, Sort);org.apache.lucene.search.FieldDocSortedHitQueue;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.IndexWriter.flushRamSegments();org.apache.lucene.index.SegmentInfos;1;1;3;0.8824;217;17;16;1;0;0.9000;32;3;1
org.apache.lucene.index.SegmentMerger.mergeTermInfos();org.apache.lucene.index.Term;2;1;2;0.9000;185;10;11;1;0;0.9545;36;6;2
org.apache.lucene.search.PhraseScorer.next();org.apache.lucene.search.PhrasePositions;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.FieldInfos.fieldNumber(String);org.apache.lucene.index.FieldInfo;1;1;0;0.9375;73;12;2;0;1;0.8000;5;0;3
org.apache.lucene.search.spans.NearSpans.SpansCell.next();org.apache.lucene.search.spans.Spans;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.BooleanQuery.BooleanWeight.normalize(float);org.apache.lucene.search.Weight;2;0;1;0.9231;80;6;3;1;0;0.9000;6;6;0
org.apache.lucene.index.DocumentWriter.quickSort(Posting[], int, int);org.apache.lucene.index.Term;1;1;0;1.0000;173;7;9;1;0;0.9091;36;6;2
org.apache.lucene.document.Document.toString();org.apache.lucene.document.Field;1;0;1;0.9167;57;7;2;1;0;0.9231;64;7;7
org.apache.lucene.index.SegmentTermEnum.next();org.apache.lucene.store.InputStream;1;1;8;0.6538;72;11;10;2;0;0.9394;101;15;7
org.apache.lucene.index.SegmentMerger.mergeTerms();org.apache.lucene.index.SegmentMergeQueue;0;1;7;0.6667;185;10;11;1;0;0.9286;13;2;0
org.apache.lucene.search.Searcher.search(Query, HitCollector);org.apache.lucene.search.Searchable;0;0;0;1.0000;15;3;1;1;0;0.8750;8;8;0
org.apache.lucene.search.FieldCacheImpl.getStrings(IndexReader, String);org.apache.lucene.index.TermDocs;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.analysis.standard.StandardTokenizerTokenManager.jjFillToken();org.apache.lucene.analysis.standard.CharStream;1;0;3;0.9429;825;16;30;5;0;0.7500;12;12;0
